      t            y            dy          frac
      0.0000       20.6063      0.4559      1.0000
      100.0000     20.8391      0.4583      1.0000
      200.0000     20.6583      0.4620      1.0000
      300.0000     21.2016      0.4635      1.0000
      400.0000     21.8994      0.4696      1.0000
      500.0000     21.7235      0.4682      1.0000
      600.0000     20.6583      0.4568      1.0000
      700.0000     20.2697      0.4517      1.0000
      800.0000     19.7486      0.4465      1.0000
      900.0000     20.8891      0.4589      1.0000
     1000.0000     21.0514      0.4607      1.0000
     1100.0000     21.8885      0.4726      1.0000
     1200.0000     21.4311      0.4663      1.0000
     1300.0000     19.4230      0.4432      1.0000
     1400.0000     18.4037      0.4311      1.0000
     1500.0000     17.9151      0.4247      1.0000
     1600.0000     17.2576      0.4168      1.0000
     1700.0000     16.8007      0.4109      1.0000
     1800.0000     18.0902      0.4267      1.0000
     1900.0000     17.6679      0.4216      1.0000
     2000.0000     17.3348      0.4179      1.0000
     2100.0000     17.4084      0.4182      1.0000
     2200.0000     16.9602      0.4132      1.0000
     2300.0000     17.3668      0.4186      1.0000
     2400.0000     17.8351      0.4237      1.0000
     2500.0000     17.7061      0.4216      1.0000
     2600.0000     17.9197      0.4249      1.0000
     2700.0000     16.2159      0.4037      1.0000
     2800.0000     17.2845      0.4175      1.0000
     2900.0000     18.2168      0.4287      1.0000
     3000.0000     18.6705      0.4332      1.0000
     3100.0000     19.3040      0.4413      1.0000
     3200.0000     20.0151      0.4487      1.0000
     3300.0000     21.2874      0.4628      1.0000
     3400.0000     22.0840      0.4718      1.0000
     3500.0000     20.2774      0.4517      1.0000
     3600.0000     19.7348      0.4457      1.0000
     3700.0000     19.5874      0.4440      1.0000
     3800.0000     19.0699      0.4381      1.0000
     3900.0000     18.9779      0.4368      1.0000
     4000.0000     19.1151      0.4386      1.0000
     4100.0000     19.1668      0.4396      1.0000
     4200.0000     19.4114      0.4426      1.0000
     4300.0000     19.7979      0.4461      1.0000
     4400.0000     20.4874      0.4541      1.0000
     4500.0000     19.4597      0.4427      1.0000
     4600.0000     19.7437      0.4464      1.0000
     4700.0000     19.9840      0.4490      1.0000
